id;creation_date;community_name;community_description;image;image_content_type;is_active;appuser_id
1;2021-06-22T19:45:06;Sleek;neural Mission redundant;../fake-data/blob/hipster.png;image/png;false;1
2;2021-06-22T11:54:30;Gloves Sleek Money;Islands;../fake-data/blob/hipster.png;image/png;true;2
3;2021-06-22T09:39:08;SQL Clothing tan;Loan program Kyrgyz;../fake-data/blob/hipster.png;image/png;true;2
4;2021-06-23T04:53:34;Accountability monitor RAM;Frozen deposit;../fake-data/blob/hipster.png;image/png;false;1
5;2021-06-23T02:51:13;monitor;Frozen Towels Rupee;../fake-data/blob/hipster.png;image/png;true;1
6;2021-06-22T09:19:18;Usability Agent fuchsia;Hill;../fake-data/blob/hipster.png;image/png;true;2
7;2021-06-22T18:51:36;GB Fish online;View global;../fake-data/blob/hipster.png;image/png;true;1
8;2021-06-22T08:19:51;Washington;auxiliary digital seize;../fake-data/blob/hipster.png;image/png;false;1
9;2021-06-23T03:06:28;complexity Liaison;drive;../fake-data/blob/hipster.png;image/png;false;2
10;2021-06-22T13:49:38;Account Hat;fault-tolerant platforms Rubber;../fake-data/blob/hipster.png;image/png;false;1
